dispatching_base_number,date,active_vehicles,trips
1732,2023-12-14,158,480
1157,2023-12-02,155,472
1148,2023-11-02,169,179
1952,2023-03-03,63,312
1423,2023-02-01,75,435
1304,2023-07-15,65,150
1155,2023-05-21,153,350
1592,2023-12-06,136,415
1632,2023-10-06,77,308
1729,2023-02-08,113,243
1321,2023-05-21,99,116
1945,2023-04-05,98,453
1526,2023-09-25,187,289
1730,2023-11-17,164,211
1116,2023-11-29,85,327
1057,2023-02-22,158,327
1167,2023-07-05,96,220
1739,2023-08-02,121,285
1592,2023-01-28,168,150
1519,2023-06-16,113,451
1632,2023-09-25,69,288
1843,2023-06-21,163,378
1209,2023-09-09,190,430
1452,2023-07-09,75,283
1791,2023-05-30,62,131
1414,2023-05-11,188,303
1177,2023-12-30,53,241
1660,2023-12-04,73,197
1712,2023-11-02,110,162
1380,2023-10-10,92,332
1653,2023-12-25,154,146
1064,2023-06-24,174,439
1453,2023-02-25,173,208
1853,2023-10-10,104,428
1643,2023-08-14,152,427
1781,2024-01-02,65,405
1143,2023-03-22,92,110
1208,2023-04-29,147,125
1337,2023-04-20,50,270
1978,2023-08-15,149,224
1383,2023-07-24,117,164
1282,2023-10-06,166,389
1575,2023-10-17,123,205
1077,2023-03-15,158,135
1677,2023-03-10,192,491
1016,2023-03-12,174,383
1101,2023-11-10,89,206
1385,2023-07-24,98,400
1335,2023-02-17,125,210
1604,2023-02-02,105,219
1928,2023-07-04,64,268
1100,2023-03-21,198,496
1618,2023-08-08,188,175
1359,2023-07-25,65,405
1115,2023-01-24,130,101
1783,2023-02-06,64,241
1127,2023-11-10,62,174
1107,2023-09-13,199,166
1354,2023-08-29,172,376
1688,2023-06-16,178,228
1361,2023-02-10,185,189
1968,2023-09-28,90,156
1895,2023-12-17,64,438
1477,2023-11-26,180,113
1049,2023-07-06,70,167
1805,2023-11-17,97,107
1453,2023-06-30,67,283
1343,2023-06-07,67,221
1775,2023-03-31,110,401
1687,2023-05-26,153,265
1555,2023-03-31,80,108
1757,2023-01-17,195,189
1668,2023-04-16,113,235
1788,2023-02-08,198,126
1153,2023-10-18,60,164
1284,2023-03-16,70,479
1247,2023-05-17,157,315
1562,2023-09-28,199,369
1508,2023-01-05,194,158
1297,2023-09-06,183,481
1117,2023-08-12,130,132
1557,2023-05-14,116,343
1258,2023-12-29,102,329
1693,2023-03-20,130,498
1723,2023-04-29,111,285
1631,2023-02-04,117,362
1261,2023-02-28,151,403
1174,2023-11-23,83,155
1071,2023-07-15,126,331
1619,2023-01-21,167,357
1324,2023-02-04,130,213
1245,2023-11-07,68,414
1557,2023-06-07,52,122
1202,2023-07-09,167,472
1407,2023-04-05,194,437
1841,2023-02-24,75,366
1541,2023-04-19,68,254
1011,2023-02-20,187,334
1686,2023-03-27,104,429
1438,2023-04-07,179,115
1742,2023-01-28,117,131
1601,2023-05-14,83,345
1400,2023-02-08,139,305
1692,2023-09-09,67,318
1601,2023-06-28,112,451
1851,2023-03-31,144,155
1033,2023-03-19,122,351
1281,2023-11-03,90,464
1263,2023-08-09,162,327
1983,2023-08-02,189,137
1737,2023-09-04,127,141
1797,2023-05-08,185,264
1607,2023-08-29,52,411
1804,2023-05-31,191,175
1413,2023-04-14,126,133
1658,2023-08-19,76,164
1553,2023-04-26,84,240
1229,2023-07-23,117,419
1272,2023-04-19,79,424
1855,2023-09-19,77,399
1169,2023-06-20,191,380
1833,2023-02-03,89,464
1505,2023-11-12,119,266
1430,2023-03-15,122,295
1493,2023-07-12,103,405
1659,2023-07-06,137,371
1294,2023-06-30,102,250
1895,2023-05-03,117,332
1367,2023-07-05,179,358
1325,2023-10-30,175,409
1134,2023-04-29,114,320
1259,2023-10-03,63,150
1170,2023-03-17,73,459
1304,2023-10-16,158,158
1681,2023-09-03,120,435
1513,2023-09-07,61,433
1689,2023-08-19,50,493
1632,2023-01-21,135,382
1315,2023-07-17,83,469
1600,2023-10-24,117,210
1715,2023-09-16,91,320
1507,2023-12-14,163,331
1278,2023-11-23,191,216
1957,2023-09-28,159,311
1749,2023-09-20,193,273
1103,2023-05-18,52,332
1739,2023-10-14,78,304
1256,2023-08-30,69,312
1321,2023-10-30,88,473
1116,2023-03-28,189,148
1280,2023-02-03,59,260
1118,2023-11-14,144,318
1006,2023-03-06,199,260
1877,2023-04-16,191,440
1534,2023-10-26,87,230
1578,2023-09-10,160,291
1260,2023-07-14,82,178
1992,2023-04-24,60,451
1852,2023-04-19,128,342
1938,2023-09-23,143,134
1252,2023-09-28,60,146
1162,2023-09-20,141,143
1693,2023-11-19,103,147
1052,2023-10-04,113,321
1752,2023-11-16,76,149
1521,2023-12-19,140,481
1089,2023-05-11,193,478
1655,2023-07-21,154,290
1873,2023-10-12,89,166
1384,2023-11-07,110,384
1960,2023-03-30,91,130
1866,2023-07-02,95,400
1972,2023-11-25,155,387
1001,2023-12-20,56,387
1419,2023-04-15,95,268
1205,2023-10-26,135,443
1454,2023-07-23,155,162
1302,2023-05-27,113,310
1668,2023-05-01,118,281
1887,2023-05-05,90,440
1158,2024-01-01,77,484
1843,2023-02-01,147,316
1729,2023-03-09,59,469
1287,2023-04-01,170,126
1675,2023-05-12,106,247
1658,2023-06-24,101,407
1215,2023-08-11,167,259
1969,2023-04-10,139,280
1694,2023-04-09,128,153
1727,2023-01-19,108,395
1932,2023-07-15,107,359
1160,2023-10-07,56,208
1294,2023-02-23,99,179
1122,2023-10-04,152,436
1314,2023-07-30,134,346
1990,2023-01-09,121,214
1116,2023-07-06,67,155
1619,2023-05-29,121,279
1300,2023-01-31,139,384
1397,2023-06-19,180,288
1718,2023-05-18,152,158
1491,2023-02-14,187,490
1353,2023-04-07,134,242
1146,2023-12-12,57,393
1260,2023-06-18,79,215
1769,2023-11-29,116,319
1866,2023-11-01,95,387
1800,2023-03-31,198,492
1268,2023-06-29,117,418
1030,2023-07-14,59,414
1947,2023-03-26,77,445
1390,2023-11-08,161,429
1971,2023-05-08,138,385
1827,2023-04-24,130,113
1026,2023-10-04,161,411
1445,2023-07-02,180,436
1507,2023-12-31,79,455
1238,2023-11-11,148,236
1580,2023-05-19,197,114
1400,2023-08-07,98,192
1469,2023-06-30,115,239
1302,2023-05-11,61,459
1414,2023-12-17,161,490
1318,2023-11-25,50,258
1331,2023-11-25,183,273
1313,2023-11-20,187,279
1020,2023-11-20,100,103
1939,2023-05-26,143,192
1196,2023-04-03,160,173
1203,2023-06-22,67,389
1385,2023-09-02,134,436
1290,2023-11-11,130,305
1824,2023-06-12,81,135
1418,2023-09-04,126,172
1571,2023-10-01,179,479
1790,2023-08-06,129,424
1870,2023-10-06,154,115
1826,2023-08-31,133,146
1932,2023-07-03,153,482
1157,2023-12-08,125,371
1377,2023-07-31,191,210
1849,2023-03-31,82,292
1090,2023-04-07,99,314
1703,2023-04-02,157,332
1502,2023-08-02,147,274
1080,2023-09-05,94,180
1507,2023-04-20,195,289
1372,2023-04-29,127,259
1430,2023-09-14,153,469
1454,2023-11-13,190,266
1809,2023-05-31,50,497
1404,2023-12-13,127,390
1631,2023-07-04,123,405
1581,2023-12-22,103,143
1218,2023-02-24,160,126
1503,2023-12-06,198,179
1644,2023-03-16,132,180
1730,2023-10-16,169,486
1642,2023-04-18,163,416
1515,2023-11-11,163,125
1915,2023-06-10,104,445
1305,2023-12-04,180,141
1957,2023-09-14,171,239
1014,2023-12-01,93,326
1326,2023-05-23,71,438
1652,2023-09-18,122,317
1033,2023-08-02,181,348
1274,2023-11-14,135,410
1011,2023-02-07,73,326
1690,2023-09-18,110,312
1764,2023-07-08,129,239
1672,2023-04-10,107,210
1119,2023-06-28,100,486
1037,2023-08-31,87,362
1282,2023-04-30,56,158
1342,2023-02-17,61,276
1892,2023-12-07,112,320
1324,2023-12-11,171,156
1443,2023-12-24,68,245
1058,2023-12-25,166,447
1648,2023-01-16,156,447
1762,2023-05-21,197,403
1752,2023-06-05,99,349
1812,2023-05-08,148,369
1020,2023-07-08,176,441
1153,2023-08-19,152,257
1540,2023-12-21,112,123
1460,2023-07-12,87,212
1960,2023-12-09,51,302
1642,2023-11-06,77,406
1563,2023-09-05,158,128
1613,2023-04-22,106,103
1954,2023-10-02,95,204
1943,2023-04-11,182,254
1570,2023-10-21,168,208
1845,2023-12-01,62,492
1432,2023-10-17,192,170
1410,2023-06-12,113,491
1197,2023-01-05,81,230
1704,2023-08-04,166,248
1561,2023-06-11,84,267
1100,2023-12-14,168,161
1726,2023-06-24,185,103
1778,2023-05-10,193,354
1009,2023-01-31,131,482
1423,2023-03-02,163,320
1406,2023-12-01,179,189
1284,2023-06-17,159,166
1315,2023-08-20,190,294
1628,2023-02-22,164,372
1045,2023-06-24,90,460
1040,2023-02-19,171,217
1473,2023-03-20,165,356
1081,2023-01-27,116,386
1912,2023-01-11,113,442
1444,2023-06-01,120,281
1464,2023-06-30,183,136
1398,2023-06-30,174,303
1863,2023-03-06,111,479
1001,2023-09-20,120,121
1396,2023-02-27,162,323
1210,2023-12-18,69,109
1632,2023-04-02,123,335
1971,2023-04-13,110,139
1686,2023-06-13,119,260
1299,2023-02-17,135,394
1715,2023-06-08,131,319
1668,2023-09-12,188,393
1174,2023-05-03,70,307
1682,2023-12-14,85,463
1054,2023-02-10,88,427
1746,2023-09-12,109,313
1842,2023-05-21,148,248
1136,2023-08-19,89,158
1196,2023-06-28,104,307
1199,2023-02-14,66,110
1699,2023-03-10,156,266
1937,2023-07-14,154,187
1310,2023-03-04,134,416
1470,2023-12-24,188,335
1667,2023-12-23,169,453
1673,2023-01-22,156,285
1464,2023-04-12,65,145
1469,2023-03-01,102,323
1791,2023-05-11,157,154
1449,2023-07-06,149,224
1266,2023-07-04,199,323
1185,2023-04-15,55,401
1185,2023-03-19,197,305
1792,2023-05-11,147,368
1478,2023-06-01,172,140
1417,2023-07-01,51,302
1722,2023-02-06,140,258
1780,2023-09-22,126,481
1524,2023-11-07,149,273
1667,2023-06-03,157,213
1911,2023-01-28,187,270
1762,2023-06-02,189,498
1826,2023-12-15,106,186
1950,2023-04-07,174,139
1737,2023-05-15,106,361
1619,2023-03-20,119,424
1056,2023-02-16,161,158
1597,2023-07-25,174,371
1428,2023-11-01,57,361
1362,2023-05-24,149,199
1357,2023-05-29,136,497
1893,2023-05-09,153,278
1639,2023-02-27,92,279
1868,2023-01-17,169,472
1110,2023-02-24,82,430
1494,2023-01-17,186,175
1362,2023-01-20,56,220
1477,2023-07-14,150,152
1425,2023-10-28,194,174
1916,2023-03-17,56,231
1201,2023-04-11,71,201
1093,2023-09-15,159,188
1128,2023-07-09,84,408
1936,2023-08-14,168,178
1457,2023-01-26,96,489
1156,2023-06-07,62,488
1502,2023-08-08,116,435
1552,2023-09-03,147,138
1411,2023-04-20,133,190
1711,2023-03-10,104,495
1718,2023-12-28,166,421
1116,2023-01-15,133,352
1885,2023-09-14,136,337
1606,2023-01-17,147,486
1323,2023-02-13,121,388
1258,2023-03-22,157,489
1696,2023-07-25,114,396
1879,2023-09-01,70,329
1481,2023-08-28,170,448
1877,2023-11-24,54,389
1973,2023-01-27,188,429
1212,2023-06-15,63,425
1970,2023-12-08,139,419
1413,2023-08-14,107,265
1875,2023-10-27,67,421
1922,2023-11-19,60,261
1423,2023-08-08,57,177
1799,2023-09-07,113,325
1993,2023-06-19,101,134
1042,2023-02-26,55,340
1128,2023-10-08,89,326
1892,2023-12-14,111,423
1282,2023-04-30,82,255
1452,2023-12-28,171,240
1123,2023-12-02,79,402
1303,2023-10-17,194,128
1578,2023-04-06,105,280
1051,2023-07-17,169,359
1627,2023-07-12,115,137
1892,2023-04-19,144,258
1136,2023-08-05,92,336
1589,2023-05-13,79,331
1963,2023-03-08,91,119
1486,2023-02-05,129,129
1897,2023-01-30,77,288
1237,2023-07-05,198,246
1059,2023-01-13,56,139
1992,2023-05-27,129,430
1840,2023-05-12,197,146
1109,2023-08-10,146,414
1254,2023-10-24,151,404
1901,2023-10-04,100,359
1123,2023-01-18,69,296
1759,2023-08-11,112,336
1284,2023-03-06,76,397
1437,2023-06-28,127,383
1572,2023-10-13,80,478
1057,2023-11-09,194,121
1218,2023-07-29,60,330
1064,2023-04-21,138,392
1803,2023-02-01,186,433
1587,2023-03-09,159,196
1093,2023-02-15,144,264
1980,2023-12-05,67,409
1673,2023-01-30,179,343
1717,2023-10-10,137,356
1203,2023-10-01,53,177
1958,2023-03-13,157,131
1773,2023-08-29,175,330
1374,2023-10-27,77,152
1313,2023-02-05,160,275
1179,2023-03-16,142,465
1815,2023-08-01,167,143
1679,2023-07-23,89,358
1453,2023-01-11,161,430
1710,2023-10-29,95,188
1700,2023-09-21,183,120
1890,2023-02-07,119,226
1644,2023-12-06,187,462
1973,2023-09-13,173,324
1923,2023-02-05,169,324
1107,2023-01-16,161,368
1814,2023-11-02,118,367
1990,2023-08-04,132,412
1267,2023-01-13,112,181
1097,2023-07-01,72,286
1435,2023-06-11,121,290
1621,2023-03-04,165,244
1520,2023-09-11,112,298
1547,2023-11-10,168,309
1413,2023-03-08,195,496
1164,2023-10-28,147,273
1868,2023-01-22,136,447
1874,2023-11-27,57,406
1171,2023-08-27,176,126
1434,2023-02-18,133,423
1294,2023-06-07,96,431
1506,2023-01-03,174,271
1273,2023-01-07,104,133
1201,2023-12-23,140,268
1900,2023-12-19,116,148
1436,2023-08-12,137,385
1792,2023-07-03,121,447
1355,2023-05-25,120,297
1953,2023-06-22,192,245
1689,2023-08-22,52,229
1007,2023-11-20,182,470
1233,2023-08-23,98,436
1477,2023-05-04,71,408
1790,2023-05-21,111,176
1806,2023-12-23,154,270
1919,2023-07-23,175,141
1886,2023-12-24,192,398
1109,2023-03-03,111,439
1655,2023-07-16,171,172
1631,2023-07-15,175,279
1453,2023-08-21,164,258
1402,2023-05-29,54,435
1673,2023-06-03,73,457
1079,2023-10-30,125,439
1093,2023-11-24,106,300
1131,2023-03-06,153,166
1358,2023-11-19,112,404
1990,2023-09-29,128,462
1494,2023-06-13,198,143
1474,2023-05-27,144,258
1847,2023-11-16,171,386
1953,2023-04-21,191,292
1901,2023-10-28,185,429
1645,2023-12-09,138,268
1687,2023-06-19,158,165
1353,2023-11-25,190,443
1775,2023-06-09,134,459
1191,2023-01-21,140,478
1194,2023-02-21,166,450
1965,2023-05-09,119,369
1350,2023-09-12,128,147
1272,2023-06-09,114,430
1310,2023-05-13,109,443
1412,2023-11-19,80,316
1795,2023-04-21,99,360
1163,2023-08-21,130,285
1478,2023-08-20,80,109
1832,2023-03-23,187,285
1977,2023-12-20,97,258
1980,2023-11-01,99,192
1860,2023-04-08,105,209
1198,2023-08-11,173,274
1386,2023-12-10,120,492
1942,2023-05-23,200,348
1975,2023-04-06,184,198
1191,2023-04-25,122,215
1340,2023-10-28,75,170
1099,2023-10-21,99,179
1487,2023-09-08,125,139
1920,2023-07-02,108,251
1210,2023-03-10,142,151
1655,2023-12-21,95,359
1648,2023-02-15,127,494
1229,2023-06-22,53,376
1803,2023-04-21,186,478
1743,2023-06-02,82,369
1780,2023-03-10,120,119
1290,2023-05-01,61,438
1063,2023-03-15,63,272
1591,2023-08-28,191,492
1730,2023-08-21,124,416
1669,2023-12-21,82,167
1093,2023-07-26,175,405
1188,2023-09-09,76,292
1991,2023-02-27,53,178
1863,2023-04-25,196,183
1692,2023-10-17,122,192
1305,2023-03-10,170,454
1342,2023-12-06,172,494
1024,2023-04-25,162,419
1728,2023-05-01,137,184
1845,2024-01-01,97,469
1809,2023-09-15,63,324
1091,2023-11-26,114,122
1480,2023-09-09,172,310
1701,2023-12-16,79,286
1054,2023-06-29,66,446
1359,2023-06-23,152,468
1178,2023-06-10,175,221
1358,2023-05-10,68,327
1282,2024-01-01,197,412
1023,2023-08-29,63,245
1218,2023-06-27,88,485
1648,2023-07-21,88,483
1324,2023-08-13,194,329
1878,2023-09-18,127,219
1379,2023-04-10,71,373
1088,2023-03-03,113,222
1611,2023-04-12,80,258
1056,2023-09-10,192,340
1978,2023-03-03,156,199
1567,2023-12-06,107,288
1218,2023-04-14,183,447
1645,2023-06-24,147,392
1602,2023-06-10,165,325
1836,2023-11-04,163,336
1060,2023-05-21,126,493
1214,2023-09-05,200,244
1324,2023-05-19,159,498
1640,2023-05-28,128,295
1607,2023-04-13,195,357
1770,2023-07-13,65,370
1794,2023-07-11,75,314
1349,2023-04-29,103,182
1051,2024-01-01,104,202
1073,2023-09-06,117,409
1795,2023-11-18,70,170
1390,2023-03-11,90,228
1509,2023-09-06,111,126
1004,2023-07-14,94,428
1859,2023-01-03,191,346
1052,2023-11-29,69,290
1422,2023-08-10,90,383
1030,2023-03-07,50,152
1807,2023-10-18,154,464
1669,2023-02-14,165,364
1635,2023-03-03,170,163
1834,2023-07-13,124,245
1368,2023-05-06,58,142
1511,2023-04-23,109,490
1500,2023-02-02,123,182
1183,2023-05-15,122,239
1188,2023-03-09,166,330
1060,2023-06-03,68,362
1218,2023-10-18,109,175
1619,2023-12-26,117,323
1452,2023-03-02,200,146
1700,2023-07-26,100,213
1597,2023-06-10,158,330
1772,2023-09-17,79,278
1447,2023-03-31,189,113
1812,2023-04-15,107,312
1977,2023-04-20,88,127
1598,2023-04-28,118,302
1089,2023-12-05,86,357
1181,2023-09-07,68,291
1860,2023-02-12,65,220
1221,2023-04-03,92,297
1490,2023-07-16,128,141
1958,2023-07-29,195,291
1542,2024-01-02,123,214
1604,2023-11-12,162,114
1525,2023-10-28,81,263
1727,2023-07-23,169,150
1857,2023-04-05,127,465
1646,2023-04-24,153,432
1838,2023-08-13,119,271
1113,2023-10-15,178,174
1020,2023-08-29,188,170
1482,2023-12-14,176,119
1367,2023-01-07,162,246
1694,2023-10-10,70,341
1559,2023-07-15,60,456
1276,2023-07-18,160,171
1118,2023-06-15,132,488
1645,2023-02-23,114,461
1611,2023-11-09,56,340
1556,2023-10-19,73,329
1111,2023-01-29,108,415
1271,2023-11-05,197,102
1200,2023-08-03,200,140
1429,2023-10-25,55,109
1142,2023-12-05,118,231
1152,2023-02-04,197,210
1178,2023-06-21,60,176
1579,2023-02-28,94,380
1168,2023-02-14,170,472
1450,2023-09-22,182,411
1002,2023-01-30,163,370
1576,2023-01-27,121,316
1240,2023-01-06,96,156
1105,2023-06-29,199,497
1879,2023-01-24,161,247
1504,2023-10-03,175,221
1423,2023-07-15,73,254
1658,2023-12-14,170,162
1909,2023-01-08,139,124
1715,2023-02-12,154,222
1422,2023-04-18,135,314
1778,2023-02-19,132,427
1036,2023-06-21,76,418
1000,2023-04-03,91,334
1690,2023-03-26,134,132
1081,2023-10-16,155,156
1787,2023-01-03,176,355
1547,2023-08-06,123,405
1908,2023-08-21,152,374
1752,2023-05-14,190,108
1250,2023-06-28,59,423
1545,2023-03-16,166,363
1969,2023-10-09,72,394
1299,2023-05-27,130,223
1073,2023-04-16,114,467
1586,2023-11-27,132,173
1273,2023-02-02,79,249
1880,2023-04-20,153,319
1687,2023-05-12,181,100
1950,2023-05-29,50,414
1380,2023-06-02,188,280
1766,2023-07-03,168,223
1826,2023-05-01,155,392
1065,2023-05-11,63,313
1859,2023-06-26,98,195
1174,2023-07-09,182,440
1540,2023-09-13,142,442
1223,2023-04-15,177,143
1023,2023-11-13,163,368
1798,2023-02-16,63,284
1761,2023-06-16,102,134
1200,2023-04-22,118,369
1609,2023-07-21,190,378
1879,2023-09-03,83,359
1760,2023-09-02,123,359
1393,2023-11-17,162,383
1069,2023-12-25,174,110
1602,2023-10-16,81,299
1617,2023-05-25,57,340
1226,2023-04-14,111,122
1535,2023-09-09,90,425
1590,2023-03-02,129,298
1954,2023-10-19,191,291
1995,2023-04-15,53,229
1795,2023-11-22,191,482
1411,2023-06-12,154,108
1688,2023-03-06,73,282
1767,2023-08-09,107,134
1886,2023-12-05,79,276
1510,2023-08-16,168,223
1400,2023-03-24,80,475
1724,2023-10-24,89,436
1046,2023-05-29,177,421
1165,2023-10-23,124,153
1693,2023-06-16,180,495
1751,2023-01-14,119,397
1694,2023-01-10,156,476
1883,2023-08-13,173,487
1841,2023-10-16,170,270
1853,2023-07-04,112,168
1538,2023-05-31,166,122
1549,2023-12-31,191,280
1167,2023-04-04,87,379
1608,2023-02-27,148,273
1355,2023-10-30,98,429
1280,2023-09-20,180,189
1566,2023-02-08,84,498
1253,2023-12-04,67,450
1666,2023-07-29,120,337
1310,2023-06-13,156,456
1363,2023-07-04,137,345
1991,2023-02-12,179,423
1725,2023-08-23,118,193
1007,2023-09-01,50,169
1602,2023-08-02,122,132
1946,2023-01-23,126,466
1176,2023-12-30,200,497
1140,2023-07-24,198,334
1929,2023-07-25,175,118
1292,2023-06-28,88,250
1483,2023-03-01,164,203
1290,2023-12-30,187,122
1367,2023-11-23,173,202
1707,2023-12-04,138,121
1262,2023-04-10,135,261
1219,2023-04-05,191,258
1512,2023-08-17,189,363
1585,2023-04-26,146,303
1266,2023-06-11,166,378
1640,2023-04-03,132,342
1372,2023-12-14,98,229
1215,2023-10-10,111,118
1505,2023-07-10,196,485
1533,2023-10-30,148,431
1143,2023-04-28,109,197
1973,2023-01-07,155,246
1118,2023-01-23,61,282
1646,2023-09-11,131,499
1666,2023-04-17,171,124
1694,2023-03-11,147,435
1291,2023-09-27,148,269
1686,2023-01-21,88,239
1534,2023-04-10,176,163
1594,2023-12-24,59,288
1230,2023-01-27,82,323
1850,2023-07-17,178,304
1506,2023-08-28,134,480
1837,2023-04-17,75,325
1802,2023-06-29,162,297
1122,2023-02-10,75,273
1163,2023-02-04,184,195
1568,2023-05-04,166,354
1934,2023-07-31,53,454
1851,2023-09-29,86,354
1499,2023-07-29,154,288
1176,2023-07-20,89,365
1168,2023-03-09,69,236
1772,2023-11-04,170,142
1725,2023-10-15,117,472
1179,2023-05-11,136,317
1098,2023-02-26,151,140
1782,2023-02-24,70,320
